,date,qty,1kg price,temp,temp_sc,qty_sc
124,2006.08.06,,,,,
125,2006.08.07,491.5,6098.4,24.12,1.4720237161671934,-0.7459213419725175
126,2006.08.08,149.1,6607.14,23.32,1.3182999424780415,-0.8116134801100662
127,2006.08.09,101.8,8649.27,22.52,1.16457616878889,-0.8206883578375956
128,2006.08.10,447.1,7745.07,22.02,1.0684988102331705,-0.7544398318478305
129,2006.08.11,696.5,5613.45,21.68,1.0031662064152809,-0.7065904765572211
130,2006.08.12,592.2,3988.1,21.18,0.9070888478595616,-0.7266012534490036
131,2006.08.13,,,,,
132,2006.08.14,329.2,5456.7,20.83,0.8398346968705573,-0.7770598759086278
133,2006.08.15,266.9,6114.29,20.8,0.8340700553572147,-0.7890126218372765
134,2006.08.16,397.5,5569.06,21.28,0.9263043195707056,-0.7639559826995315
135,2006.08.17,273.2,5720.84,22.33,1.1280667725377165,-0.7878039171928064
136,2006.08.18,267.3,6161.31,24.0,1.4489651501138203,-0.7889358786852465
137,2006.08.19,438.5,6101.25,24.92,1.625747489856345,-0.7560898096164722
138,2006.08.20,,,,,
139,2006.08.21,576.0,6304.76,26.15,1.8620977919034147,-0.7297093511062124
140,2006.08.22,547.8,6442.31,26.28,1.8870779051279023,-0.7351197433243165
141,2006.08.23,601.7,5801.03,26.28,1.8870779051279023,-0.7247786035882948
142,2006.08.24,414.2,5453.1,26.2,1.871705527758987,-0.7607519561022854
143,2006.08.25,515.1,5362.65,26.0,1.8332745843366989,-0.7413934960027566
144,2006.08.26,569.4,4871.75,25.9,1.8140591126255547,-0.7309756131147048
145,2006.08.27,,,,,
146,2006.08.28,488.8,5883.35,25.85,1.8044513767699837,-0.7464393582487191
147,2006.08.29,365.6,6883.22,25.85,1.8044513767699837,-0.7700762490739118
148,2006.08.30,751.8,6215.87,25.88,1.8102160182833265,-0.6959807357890947
149,2006.08.31,627.7,6087.84,25.62,1.7602557918343524,-0.7197902987063547
150,2006.09.01,730.0,6175.09,25.52,1.7410403201232083,-0.7001632375747214
151,2006.09.02,665.5,4873.9,25.72,1.779471263545496,-0.7125380708395342
152,2006.09.03,,,,,
153,2006.09.04,505.5,5143.19,26.15,1.8620977919034147,-0.7432353316514728
154,2006.09.05,305.2,6882.91,25.98,1.8294314899944704,-0.7816644650304186
155,2006.09.06,886.9,5878.13,25.43,1.7237463955831789,-0.670060736191014
156,2006.09.07,1158.1,5561.45,25.2,1.6795508106475476,-0.618028879114778
157,2006.09.08,903.8,5662.99,24.88,1.618061301171887,-0.6668183380177529
158,2006.09.09,725.3,5413.01,24.55,1.5546502445251122,-0.7010649696110721
159,2006.09.10,,,,,
160,2006.09.11,883.6,5958.56,23.62,1.3759463576114737,-0.6706938671952604
161,2006.09.12,810.2,6590.56,23.25,1.304849112280241,-0.6847762355927371
162,2006.09.13,733.7,7633.49,23.1,1.2760259047135254,-0.6994533634184453
163,2006.09.14,1144.1,7208.34,23.12,1.2798689990557541,-0.6207148894358226
164,2006.09.15,1441.1,7303.94,23.05,1.2664181688579532,-0.5637330990536615
165,2006.09.16,1464.2,5793.67,22.74,1.2068502065534066,-0.5593011820239379
166,2006.09.17,,,,,
167,2006.09.18,858.1,7404.14,22.45,1.1511253385910891,-0.6755862431371631
168,2006.09.19,1340.5,7082.85,22.5,1.1607330744466615,-0.583034001789168
169,2006.09.20,1108.1,6404.63,22.62,1.1837916405000344,-0.6276217731185089
170,2006.09.21,1388.9,6503.02,22.56,1.1722623574733475,-0.5737480803935565
171,2006.09.22,1240.8,5747.14,22.62,1.1837916405000344,-0.6021622324326071
172,2006.09.23,1434.2,5604.74,22.6,1.1799485461578056,-0.5650569184261763
173,2006.09.24,,,,,
174,2006.09.25,1666.0,5303.33,22.6,1.1799485461578056,-0.5205842618248802
175,2006.09.26,1642.5,5935.9,22.63,1.1857131876711484,-0.5250929220066337
176,2006.09.27,2892.5,5793.9,22.75,1.2087717537245213,-0.2852705719133628
177,2006.09.28,2416.4,5586.76,22.85,1.2279872254356654,-0.3766141086168878
178,2006.09.29,2643.3,4892.66,22.91,1.2395165084623516,-0.3330815556279573
179,2006.09.30,1739.8,5495.6,22.95,1.247202697146809,-0.5064251502753735
180,2006.10.01,,,,,
181,2006.10.02,4782.6,5757.3,22.97,1.2510457914890376,0.07736000721567024
182,2006.10.03,2348.2,7398.61,23.05,1.2664181688579532,-0.3896988160379768
183,2006.10.04,3687.2,9232.09,23.01,1.2587319801734955,-0.132801114618065
184,2006.10.05,3418.4,8917.59,22.75,1.2087717537245213,-0.18437251278212188
185,2006.10.06,,,,,
186,2006.10.07,,,,,
187,2006.10.08,,,,,
188,2006.10.09,2584.5,8135.17,22.05,1.074263451746514,-0.34436279897634475
189,2006.10.10,2846.5,6985.61,22.0,1.0646557158909418,-0.2940960343967952
190,2006.10.11,2271.7,6638.35,22.05,1.074263451746514,-0.4043759438636849
191,2006.10.12,3510.5,5353.1,22.07,1.0781065460887425,-0.1667024020272497
192,2006.10.13,2478.1,5356.86,22.05,1.074263451746514,-0.364776477416284
193,2006.10.14,4269.8,4842.43,21.98,1.060812621548713,-0.021024713686593227
194,2006.10.15,,,,,
195,2006.10.16,4146.7,4680.44,22.02,1.0684988102331705,-0.04464241872377861
196,2006.10.17,2594.6,5525.76,22.0,1.0646557158909418,-0.34242503438759114
197,2006.10.18,5202.1,5137.9,22.01,1.0665772630620565,0.15784438790697194
198,2006.10.19,4506.9,5132.48,21.87,1.0396756026664549,0.024464789679098285
199,2006.10.20,3681.4,5778.08,21.8,1.026224772468654,-0.1339138903224977
200,2006.10.21,4443.1,5476.8,21.66,0.9993231120730524,0.012224256930337879
201,2006.10.22,,,,,
202,2006.10.23,8287.1,5223.86,20.7,0.8148545836460704,0.7497259479371644
203,2006.10.24,5128.8,5504.02,20.07,0.6937971118658638,0.14378120529750252
204,2006.10.25,6269.9,5572.79,19.81,0.6438368854168893,0.3627102322506475
205,2006.10.26,4902.9,5497.97,19.7,0.6226998665346309,0.1004405101886465
206,2006.10.27,5878.7,6923.27,19.65,0.613092130679059,0.2876554295654575
207,2006.10.28,8644.7,7343.86,19.52,0.5881120174545721,0.8183343258518474
208,2006.10.29,,,,,
209,2006.10.30,12418.0,6433.54,19.24,0.5343086966633688,1.5422716647373984
210,2006.10.31,3600.0,7653.86,19.22,0.5304656023211402,-0.1495311217605715
211,2006.11.01,6413.0,7918.8,19.06,0.4997208475833098,0.3901650948893252
212,2006.11.02,9465.3,7777.45,18.95,0.4785838287010516,0.9757729022410776
213,2006.11.03,10333.7,8289.33,18.75,0.44015288527876384,1.1423822852978749
214,2006.11.04,14229.9,8895.62,18.71,0.4324666965943064,1.8898989576445968
215,2006.11.05,,,,,
216,2006.11.06,19558.4,7484.19,18.38,0.3690556399475311,2.912213671622192
217,2006.11.07,6651.0,7801.21,17.74,0.24607662099620975,0.43582727034708396
218,2006.11.08,10196.9,8320.64,17.39,0.1788224700072064,1.1161361273036672
219,2006.11.09,15223.6,8407.95,17.55,0.20956722474503675,2.080548133074743
220,2006.11.10,17063.0,9384.63,17.48,0.19611639454723595,2.4334515176839933
221,2006.11.11,15838.6,9959.04,17.23,0.1480777152693761,2.1985407293206327
222,2006.11.12,,,,,
223,2006.11.13,22084.0,10060.88,16.48,0.003961677435796581,3.396769933538643
224,2006.11.14,8615.8,10970.01,16.48,0.003961677435796581,0.8127896331176907
225,2006.11.15,11967.0,12207.3,16.13,-0.06329247355320748,1.4557437608237462
226,2006.11.16,17574.0,11440.25,15.76,-0.13438971888443987,2.5314908944021224
227,2006.11.17,20589.1,11239.52,15.43,-0.1978007755312149,3.109961588615098
228,2006.11.18,23693.1,11558.57,15.23,-0.23623171895350265,3.705488448366709
229,2006.11.19,,,,,
230,2006.11.20,25685.0,10683.88,14.88,-0.3034858699425063,4.087650159687338
231,2006.11.21,17189.9,8807.2,14.98,-0.2842703982313625,2.457798282665462
232,2006.11.22,15469.4,8327.32,14.93,-0.2938781340869346,2.127706799997084
233,2006.11.23,12792.5,8695.16,14.65,-0.34768145487813745,1.6141224408253425
234,2006.11.24,20118.3,9056.49,14.46,-0.3841908511293109,3.0196348986759687
235,2006.11.25,24586.3,9946.72,14.15,-0.4437588134338572,3.876855906849357
236,2006.11.26,,,,,
237,2006.11.27,21313.6,10572.54,14.45,-0.3861123983004256,3.2489626227291586
238,2006.11.28,15781.3,10015.27,13.98,-0.4764251153428018,2.1875472727923566
239,2006.11.29,18839.6,8752.86,13.87,-0.4975621342250604,2.7743062274245567
240,2006.11.30,11965.9,9284.43,13.67,-0.5359930776473482,1.4555327171556642
241,2006.12.01,15476.4,9029.3,13.51,-0.5667378323851784,2.129049805157606
242,2006.12.02,14873.9,9603.72,13.31,-0.6051687758074662,2.0134554324126497
243,2006.12.03,,,,,
244,2006.12.04,11671.7,10498.84,12.72,-0.7185400589032154,1.3990881288377122
245,2006.12.05,9704.5,10615.77,12.69,-0.7243047004165588,1.021665307154926
246,2006.12.06,14341.5,8995.53,13.0,-0.6647367381120125,1.9113102970609237
247,2006.12.07,14100.2,8438.93,13.04,-0.657050549427555,1.8650149905989184
248,2006.12.08,9516.7,9061.4,13.47,-0.5744240210696359,0.9856343972769132
249,2006.12.09,12403.6,10116.93,12.75,-0.7127754173898723,1.5395089112643239
250,2006.12.10,,,,,
251,2006.12.11,22041.8,8385.57,12.44,-0.7723433796944186,3.3886735309994944
252,2006.12.12,12620.3,7535.24,12.36,-0.7877157570633337,1.5810845138764933
253,2006.12.13,11118.3,7096.72,12.37,-0.7857942098922194,1.292913978004419
254,2006.12.14,9285.5,6548.88,12.27,-0.8050096816033633,0.9412768554036616
255,2006.12.15,8940.0,7917.88,12.18,-0.8223036061433928,0.8749899578378816
256,2006.12.16,18995.4,6545.02,12.2,-0.8184605118011641,2.8041976851401818
257,2006.12.17,,,,,
258,2006.12.18,13846.6,5780.56,11.31,-0.9894782100303448,1.8163598322119958
259,2006.12.19,4926.3,6737.31,11.31,-0.9894782100303448,0.10492998458239262
260,2006.12.20,8613.9,6836.03,11.47,-0.9587334552925144,0.812425103145549
261,2006.12.21,11733.1,5881.38,11.38,-0.976027379832544,1.4108682026742936
262,2006.12.22,12746.3,5586.77,11.42,-0.9683411911480868,1.6052586067658947
263,2006.12.23,11913.4,5644.22,11.33,-0.985635115688116,1.4454601784517467
264,2006.12.24,,,,,
265,2006.12.25,13299.1,6040.87,11.23,-1.00485058739926,1.7113176428711434
266,2006.12.26,10551.2,6063.15,11.48,-0.9568119081214002,1.184111374214104
267,2006.12.27,9132.1,6213.3,11.65,-0.9241456062124556,0.9118458566002156
268,2006.12.28,13705.9,6626.15,10.8,-1.0874771157571792,1.7893654284854974
269,2006.12.29,18782.3,6214.89,10.47,-1.1508881724039541,2.763312770896281
270,2006.12.30,14118.6,5725.31,10.18,-1.2066130403662716,1.868545175592292
271,2006.12.31,,,,,
272,2007.01.01,,,,,
273,2007.01.02,22571.3,5244.58,10.11,-1.2200638705640725,3.490262278499004
274,2007.01.03,6285.5,5826.81,10.2,-1.2027699460240429,0.3657032151798116
275,2007.01.04,10369.8,5650.5,10.14,-1.2142992290507288,1.1493083547685683
276,2007.01.05,15474.6,4875.56,10.13,-1.216220776221843,2.128704460973472
277,2007.01.06,13943.7,4437.74,10.06,-1.229671606419644,1.8349892323672408
278,2007.01.07,,,,,
279,2007.01.08,11777.1,4853.28,9.94,-1.2527301724730169,1.4193099493975767
280,2007.01.09,10393.2,4765.58,9.89,-1.2623379083285888,1.1537978291623148
281,2007.01.10,9735.9,4196.86,9.76,-1.287318021553076,1.027689644589269
282,2007.01.11,8128.3,4717.38,9.78,-1.2834749272108472,0.7192589165813152
283,2007.01.12,12082.4,4687.84,9.71,-1.2969257574086477,1.4778841601843569
284,2007.01.13,13417.9,4834.07,9.11,-1.4122185876755116,1.7341103590240077
285,2007.01.14,,,,,
286,2007.01.15,16144.4,4819.96,9.31,-1.3737876442532235,2.25721086904745
287,2007.01.16,10949.3,5247.69,9.12,-1.4102970405043973,1.2604899962718088
288,2007.01.17,10485.3,5342.79,9.15,-1.404532398991054,1.1714679399171866
289,2007.01.18,9349.1,5189.4,9.13,-1.4083754933332826,0.9534790165764072
290,2007.01.19,12348.9,5197.36,9.05,-1.4237478707021978,1.5290142852242423
291,2007.01.20,10664.1,5576.85,9.28,-1.379552285766567,1.2057721288745282
292,2007.01.21,,,,,
293,2007.01.22,15103.5,5550.17,9.18,-1.3987677574777109,2.057506001677781
294,2007.01.23,10613.1,5439.0,9.18,-1.3987677574777109,1.1959873769907228
295,2007.01.24,12569.9,5343.57,9.57,-1.3238274178042495,1.5714148767207328
296,2007.01.25,11597.5,4798.62,9.43,-1.3507290781998509,1.3848522741361755
297,2007.01.26,12632.2,4648.06,9.29,-1.3776307385954527,1.5833676226493814
298,2007.01.27,11691.0,4466.43,9.15,-1.404532398991054,1.4027909859231522
299,2007.01.28,,,,,
300,2007.01.29,16302.7,4521.46,9.29,-1.3776307385954527,2.2875819714632617
301,2007.01.30,11273.7,4213.95,8.99,-1.4352771537288842,1.3227286925680146
302,2007.01.31,10393.4,4402.08,8.88,-1.4564141726111424,1.1538362007383294
303,2007.02.01,9366.2,4373.08,8.81,-1.4698650028089433,0.9567597863256834
304,2007.02.02,9460.9,4658.36,8.82,-1.467943455637829,0.9749287275687494
305,2007.02.03,12259.8,4975.56,8.67,-1.4967666632045449,1.5119197481095938
306,2007.02.04,,,,,
307,2007.02.05,15491.2,5198.45,8.98,-1.437198700899999,2.1318893017827105
308,2007.02.06,11681.7,5092.03,9.78,-1.2834749272108472,1.4010067076384582
309,2007.02.07,10303.1,5509.43,9.86,-1.268102549841932,1.1365114341675917
310,2007.02.08,12014.0,5502.0,9.86,-1.268102549841932,1.4647610811872531
311,2007.02.09,13228.6,4963.16,10.17,-1.208534587537386,1.6977916623258829
312,2007.02.10,16970.5,4085.53,9.65,-1.3084550404353343,2.415704663777091
313,2007.02.11,,,,,
314,2007.02.12,16350.5,4181.82,10.09,-1.223906964906301,2.2967527781308283
315,2007.02.13,11172.7,4861.17,9.87,-1.2661810026708178,1.3033510466804783
316,2007.02.14,14726.9,5123.79,10.12,-1.218142323392958,1.985252324041681
317,2007.02.15,18233.4,5965.45,9.47,-1.3430428895153932,2.6580019805233244
318,2007.02.16,19135.9,6679.77,9.36,-1.3641799083976518,2.831153717290666
319,2007.02.17,8661.0,7911.64,9.47,-1.3430428895153932,0.8214616092970636
320,2007.02.18,,,,,
321,2007.02.19,,,,,
322,2007.02.20,,,,,
323,2007.02.21,11173.6,7456.57,11.02,-1.0452030779926624,1.3035237187725457
324,2007.02.22,7864.5,6579.26,10.03,-1.2354362479329877,0.6686468078176313
325,2007.02.23,10269.6,5809.68,11.26,-0.9990859458859168,1.1300841951850922
326,2007.02.24,12817.8,3868.76,11.33,-0.985635115688116,1.61897644519123
327,2007.02.25,,,,,
328,2007.02.26,12273.6,3841.1,10.84,-1.0797909270727215,1.514567386854624
329,2007.02.27,6553.2,4462.41,10.55,-1.1355157950350387,0.4170635696757865
330,2007.02.28,6464.3,4650.62,10.75,-1.097084851612751,0.4000074041371531
331,2007.03.01,5888.6,4315.39,10.58,-1.1297511535216958,0.2895548225781963
332,2007.03.02,7932.7,4541.24,10.72,-1.102849493126094,0.6817315152387202
333,2007.03.03,10272.9,3886.81,10.82,-1.0836340214149502,1.1307173261893382
334,2007.03.04,,,,,
335,2007.03.05,8840.4,4321.66,11.07,-1.0355953421370905,0.8558809129824497
336,2007.03.06,6322.1,4487.0,10.55,-1.1355157950350387,0.3727252135905426
337,2007.03.07,3812.5,5178.76,10.28,-1.1873975686551277,-0.10876132224471548
338,2007.03.08,5048.0,5521.42,10.31,-1.1816329271417845,0.12827908858747344
339,2007.03.09,5666.1,5509.79,10.37,-1.170103644115098,0.2468664442615941
340,2007.03.10,9241.3,6734.01,10.4,-1.1643390026017548,0.9327967371043636
341,2007.03.11,,,,,
342,2007.03.12,15640.4,5704.66,10.05,-1.2315931535907585,2.160514497489844
343,2007.03.13,6416.6,5659.94,10.16,-1.2104561347085,0.3908557832575939
344,2007.03.14,5323.0,4826.46,10.21,-1.2008483988529282,0.18104000560799305
