,어종,산지,평균가,최종수량,year,month,day,date,1kg price
111,(선)깐굴,통영,4400,77.0,2006,4,12,2006.04,4000.0
112,(선)깐굴,통영,6000,170.0,2006,4,12,2006.04,3529.41
113,(선)깐굴,남해,14500,32.0,2006,4,12,2006.04,7250.0
114,(선)깐굴,통영,5300,320.4,2006,4,12,2006.04,4416.67
115,(선)깐굴,통영,5500,150.0,2006,4,12,2006.04,3666.67
116,(선)깐굴,삼천포,11000,10.0,2006,4,12,2006.04,5500.0
117,(선)깐굴,남해,14000,15.3,2006,4,12,2006.04,8235.29
118,(선)깐굴,남해,9000,171.0,2006,4,12,2006.04,2368.42
119,(선)깐굴,통영,12000,16.2,2006,4,12,2006.04,6666.67
120,(선)깐굴,남해,10500,11.2,2006,4,12,2006.04,6562.5
121,(선)깐굴,통영,7500,195.8,2006,4,12,2006.04,3409.09
122,(선)깐굴,삼천포,14100,167.2,2006,4,12,2006.04,7421.05
123,(선)깐굴,통영,9000,240.0,2006,4,12,2006.04,3750.0
124,(선)깐굴,통영,9500,174.3,2006,4,13,2006.04,4523.81
125,(선)깐굴,통영,11500,132.0,2006,4,13,2006.04,5227.27
126,(선)깐굴,삼천포,11500,33.6,2006,4,13,2006.04,7187.5
127,(선)깐굴,통영,10500,41.4,2006,4,13,2006.04,5833.33
128,(선)깐굴,남해,14500,42.5,2006,4,13,2006.04,8529.41
129,(선)깐굴,통영,7400,448.0,2006,4,13,2006.04,4625.0
130,(선)깐굴,삼천포,13000,210.0,2006,4,13,2006.04,6500.0
131,(선)깐굴,남해,10000,100.0,2006,4,13,2006.04,2500.0
132,(선)깐굴,통영,5900,246.40000000000003,2006,4,13,2006.04,5363.64
133,(선)깐굴,통영,5700,269.1,2006,4,13,2006.04,4384.62
134,(선)깐굴,남해,14000,30.6,2006,4,13,2006.04,7777.78
135,(선)깐굴,통영,6000,140.0,2006,4,13,2006.04,4285.71
136,(선)깐굴,남해,12500,144.4,2006,4,13,2006.04,6578.95
137,(선)깐굴,삼천포,14500,192.6,2006,4,13,2006.04,8055.56
138,(선)깐굴,통영,13000,57.6,2006,4,13,2006.04,5416.67
139,(선)깐굴,통영,12200,305.0,2006,4,14,2006.04,4880.0
140,(선)깐굴,삼천포,11100,567.0,2006,4,14,2006.04,6166.67
141,(선)깐굴,삼천포,10400,117.3,2006,4,14,2006.04,6117.65
142,(선)깐굴,통영,6300,210.0,2006,4,14,2006.04,4500.0
143,(선)깐굴,남해,11600,203.4,2006,4,14,2006.04,6444.44
144,(선)깐굴,통영,5400,429.0,2006,4,14,2006.04,4153.85
145,(선)깐굴,통영,11000,23.8,2006,4,14,2006.04,6470.59
146,(선)깐굴,남해,12000,46.0,2006,4,14,2006.04,6000.0
147,(선)깐굴,통영,4700,705.6,2006,4,14,2006.04,3916.67
148,(선)깐굴,삼천포,8000,19.5,2006,4,14,2006.04,6153.85
149,(선)깐굴,통영,6900,300.0,2006,4,14,2006.04,4600.0
150,(선)깐굴,삼천포,11000,44.0,2006,4,14,2006.04,5500.0
151,(선)깐굴,통영,8200,489.6,2006,4,14,2006.04,5125.0
152,(선)깐굴,통영,4500,80.0,2006,4,14,2006.04,4500.0
153,(선)깐굴,통영,6500,197.6,2006,4,14,2006.04,2500.0
154,(선)깐굴,남해,13000,51.0,2006,4,14,2006.04,7647.06
155,(선)깐굴,통영,9600,115.2,2006,4,14,2006.04,5333.33
156,(선)깐굴,남해,7000,37.7,2006,4,14,2006.04,2413.79
157,(선)깐굴,통영,4000,96.6,2006,4,14,2006.04,1739.13
158,(선)깐굴,남해,9000,117.0,2006,4,14,2006.04,2307.69
159,(선)깐굴,통영,11000,418.00000000000006,2006,4,14,2006.04,5000.0
160,(선)깐굴,삼천포,11100,74.1,2006,4,14,2006.04,5842.11
161,(선)깐굴,통영,7700,132.0,2006,4,14,2006.04,3208.33
162,(선)깐굴,통영,12000,360.0,2006,4,15,2006.04,4800.0
163,(선)깐굴,통영,11700,412.8,2006,4,15,2006.04,4875.0
164,(선)깐굴,삼천포,11000,70.2,2006,4,15,2006.04,6111.11
165,(선)깐굴,남해,11600,64.6,2006,4,15,2006.04,6105.26
166,(선)깐굴,삼천포,9000,102.0,2006,4,15,2006.04,5294.12
167,(선)깐굴,남해,9000,87.5,2006,4,15,2006.04,2571.43
168,(선)깐굴,통영,8400,79.8,2006,4,15,2006.04,6000.0
169,(선)깐굴,남해,10300,214.2,2006,4,15,2006.04,5722.22
170,(선)깐굴,통영,4800,585.0,2006,4,15,2006.04,3692.31
171,(선)깐굴,통영,5100,259.6,2006,4,15,2006.04,4636.36
172,(선)깐굴,통영,7900,907.8,2006,4,15,2006.04,4647.06
173,(선)깐굴,통영,5100,418.8,2006,4,15,2006.04,4250.0
